district,village,office,agree,disagree
旗山區,大林里,71,106,6
旗山區,上洲里,72,436,26
旗山區,新光里,73,292,18
旗山區,南勝里,74,379,14
旗山區,南勝里,75,486,16
旗山區,中寮里,76,59,3
旗山區,東昌里,77,313,14
旗山區,東平里,78,383,14
旗山區,東平里,79,325,14
旗山區,竹峰里,80,345,13
旗山區,竹峰里,81,231,11
旗山區,瑞吉里,82,356,15
旗山區,瑞吉里,83,375,12
旗山區,永和里,84,414,11
旗山區,永和里,85,368,18
旗山區,永和里,86,450,9
旗山區,三協里,87,268,12
旗山區,三協里,88,214,9
旗山區,三協里,89,265,7
旗山區,鯤洲里,90,389,16
旗山區,大山里,91,511,14
旗山區,中洲里,92,351,16
旗山區,南洲里,93,543,29
旗山區,廣福里,94,159,6
美濃區,福安里,95,363,23
美濃區,福安里,96,392,15
美濃區,合和里,97,254,5
美濃區,合和里,98,343,18
美濃區,祿興里,99,382,11
美濃區,祿興里,100,343,11
美濃區,中壇里,101,241,12
美濃區,中壇里,102,261,15
美濃區,德興里,103,356,14
美濃區,龍山里,104,293,15
美濃區,龍山里,105,254,8
美濃區,獅山里,106,485,25
美濃區,獅山里,107,302,14
美濃區,龍肚里,108,176,9
美濃區,龍肚里,109,238,8
美濃區,廣德里,110,376,15
美濃區,興隆里,111,369,17
美濃區,中圳里,112,257,16
美濃區,中圳里,113,308,16
美濃區,東門里,114,363,12
美濃區,泰安里,115,405,19
美濃區,瀰濃里,116,303,15
美濃區,瀰濃里,117,307,10
美濃區,清水里,118,278,12
美濃區,清水里,119,260,8
美濃區,吉洋里,120,259,16
美濃區,吉洋里,121,283,8
美濃區,吉和里,122,313,13
美濃區,吉東里,123,252,6
美濃區,吉東里,124,298,12
美濃區,廣林里,125,234,16
美濃區,廣林里,126,201,6
茂林區,多納里,127,10,0
茂林區,萬山里,128,23,0
茂林區,茂林里,129,27,1
茄萣區,福德里,130,524,8
茄萣區,萬福里,131,360,10
茄萣區,白雲里,132,647,28
茄萣區,嘉賜里,133,460,14
茄萣區,嘉賜里,134,576,10
茄萣區,嘉賜里,135,555,3
茄萣區,嘉安里,136,732,15
茄萣區,嘉樂里,137,334,12
茄萣區,嘉樂里,138,498,20
茄萣區,嘉泰里,139,478,15
茄萣區,嘉福里,140,358,15
茄萣區,和協里,141,448,10
茄萣區,嘉定里,142,454,8
茄萣區,保定里,143,527,18
茄萣區,保定里,144,724,16
茄萣區,大定里,145,389,8
茄萣區,光定里,146,358,24
茄萣區,吉定里,147,530,20
茄萣區,崎漏里,148,458,28
茄萣區,崎漏里,149,489,16
茄萣區,崎漏里,150,701,17
湖內區,海山里,151,474,27
湖內區,劉家里,152,475,22
湖內區,太爺里,153,353,14
湖內區,公舘里,154,484,8
湖內區,公舘里,155,489,15
湖內區,葉厝里,156,625,21
湖內區,葉厝里,157,654,21
湖內區,大湖里,158,507,11
湖內區,大湖里,159,472,16
湖內區,大湖里,160,502,19
湖內區,田尾里,161,397,10
湖內區,湖內里,162,337,13
湖內區,湖內里,163,371,13
湖內區,湖內里,164,381,10
湖內區,湖內里,165,408,12
湖內區,海埔里,166,486,12
湖內區,海埔里,167,379,8
湖內區,文賢里,168,500,29
湖內區,中賢里,169,440,5
湖內區,中賢里,170,482,12
湖內區,逸賢里,171,497,24
湖內區,忠興里,172,288,10
湖內區,湖東里,173,423,22
湖內區,湖東里,174,505,15
路竹區,竹滬里,175,403,13
路竹區,竹滬里,176,460,14
路竹區,竹滬里,177,448,22
路竹區,頂寮里,178,498,21
路竹區,新達里,179,540,24
路竹區,後鄉里,180,519,14
路竹區,北嶺里,181,585,23
路竹區,社西里,182,417,24
路竹區,社西里,183,471,6
路竹區,甲北里,184,415,13
路竹區,甲北里,185,461,14
路竹區,甲南里,186,422,20
路竹區,甲南里,187,345,12
路竹區,甲南里,188,413,13
路竹區,下坑里,189,365,9
路竹區,下坑里,190,312,16
路竹區,下坑里,191,421,10
路竹區,竹園里,192,324,7
路竹區,竹園里,193,467,13
路竹區,竹東里,194,374,7
